Time [s],Value,Parity Error,Framing Error
4.0899650000,0x3C,,
4.0910150000,0xC0,,
4.0920650000,0x5C,,
4.0931150000,0x80,,
4.0941650000,0x5C,,
4.0952150000,0xC0,,
4.0962700000,0x5C,,
4.0973200000,0x82,,
4.0983700000,0xCA,,
4.0994200000,0x5C,,
4.1004700000,0x5C,,
4.1015200000,0xC8,,
4.1025700000,0x5C,,
4.1036250000,0xE2,,
4.1046750000,0x7C,,
4.1700150000,0x3C,,
4.1710650000,0xC0,,
4.1721150000,0x5C,,
4.1731650000,0x80,,
4.1742150000,0x5C,,
4.1752650000,0xC0,,
4.1763150000,0x5C,,
4.1773700000,0xCA,,
4.1784200000,0x2A,,
4.1794700000,0x5C,,
4.1805200000,0x5C,,
4.1815700000,0x60,,
4.1826200000,0x5C,,
4.1836700000,0xE2,,
4.1847250000,0x7C,,
5.3158550000,0x3C,,
5.3169050000,0xC0,,
5.3179550000,0x5C,,
5.3190050000,0x80,,
5.3200550000,0x5C,,
5.3211100000,0xC0,,
5.3221600000,0x5C,,
5.3232100000,0xCA,,
5.3242600000,0x2A,,
5.3253100000,0x5C,,
5.3263600000,0x5C,,
5.3274100000,0x60,,
5.3284650000,0x5C,,
5.3295150000,0xE2,,
5.3305650000,0x7C,,
6.3151450000,0x3C,,
6.3161950000,0xC0,,
6.3172450000,0x5C,,
6.3183000000,0x80,,
6.3193500000,0x5C,,
6.3204000000,0xC0,,
6.3214500000,0x5C,,
6.3225000000,0xCA,,
6.3235500000,0x2A,,
6.3246000000,0x5C,,
6.3256550000,0x5C,,
6.3267050000,0x60,,
6.3277550000,0x5C,,
6.3288050000,0xE2,,
6.3298550000,0x7C,,
7.3278050000,0x3C,,
7.3288550000,0xC0,,
7.3299050000,0x5C,,
7.3309600000,0x80,,
7.3320100000,0x5C,,
7.3330600000,0xC0,,
7.3341100000,0x5C,,
7.3351600000,0xCA,,
7.3362100000,0x2A,,
7.3372600000,0x5C,,
7.3383100000,0x5C,,
7.3393650000,0x60,,
7.3404150000,0x5C,,
7.3414650000,0xE2,,
7.3425150000,0x7C,,
8.3353950000,0x3C,,
8.3364450000,0xC0,,
8.3374950000,0x5C,,
8.3385450000,0x80,,
8.3395950000,0x5C,,
8.3406450000,0xC0,,
8.3416950000,0x5C,,
8.3427500000,0xCA,,
8.3438000000,0x2A,,
8.3448500000,0x5C,,
8.3459000000,0x5C,,
8.3469500000,0x60,,
8.3480000000,0x5C,,
8.3490500000,0xE2,,
8.3501050000,0x7C,,
9.3357900000,0x3C,,
9.3368400000,0xC0,,
9.3378900000,0x5C,,
9.3389400000,0x80,,
9.3399900000,0x5C,,
9.3410400000,0xC0,,
9.3420900000,0x5C,,
9.3431450000,0xCA,,
9.3441950000,0x2A,,
9.3452450000,0x5C,,
9.3462950000,0x5C,,
9.3473450000,0x60,,
9.3483950000,0x5C,,
9.3494450000,0xE2,,
9.3505000000,0x7C,,
10.3364950000,0x3C,,
10.3375450000,0xC0,,
10.3385950000,0x5C,,
10.3396500000,0x80,,
10.3407000000,0x5C,,
10.3417500000,0xC0,,
10.3428000000,0x5C,,
10.3438500000,0xCA,,
10.3449000000,0x2A,,
