Time [s],Value,Parity Error,Framing Error
4.3576900000,0x3C,,
4.3588350000,0x80,,
4.3599800000,0x5C,,
4.3611250000,0xC0,,
4.3622700000,0x5C,,
4.3634150000,0x70,,
4.3645600000,0x5C,,
4.3657050000,0x60,,
4.3668500000,0x5C,,
4.3679950000,0x82,,
4.3691400000,0xCA,,
4.3702850000,0xF8,,
4.3714300000,0xF8,,
4.3725750000,0x8C,,
4.3737200000,0xEC,,
4.3748650000,0x0C,,
4.3760100000,0xCC,,
4.3771550000,0xAC,,
4.3783000000,0x9C,,
4.3794450000,0x8C,,
4.3805900000,0x8C,,
4.3817350000,0x5C,,
4.3828800000,0x88,,
4.3840250000,0x5C,,
4.3851700000,0xE2,,
4.3863150000,0x7C,,
4.4484700000,0x3C,,
4.4496150000,0x80,,
4.4507600000,0x5C,,
4.4519050000,0xC0,,
4.4530500000,0x5C,,
4.4541950000,0xB0,,
4.4553400000,0x5C,,
4.4564850000,0x60,,
4.4576300000,0x5C,,
4.4587750000,0xCA,,
4.4599200000,0x2A,,
4.4610650000,0x18,,
4.4622100000,0x00,,
4.4633550000,0x00,,
4.4645000000,0x8C,,
4.4656450000,0xEC,,
4.4667900000,0x0C,,
4.4679350000,0xCC,,
4.4690800000,0xAC,,
4.4702250000,0x9C,,
4.4713700000,0x5C,,
4.4725150000,0xF8,,
4.4736600000,0x5C,,
4.4748050000,0xE2,,
4.4759500000,0x7C,,
5.6041450000,0x3C,,
5.6052900000,0x80,,
5.6064350000,0x5C,,
5.6075800000,0xC0,,
5.6087250000,0x5C,,
5.6098700000,0xB0,,
5.6110150000,0x5C,,
5.6121600000,0x60,,
5.6133050000,0x5C,,
5.6144500000,0xCA,,
5.6155950000,0x2A,,
5.6167400000,0x18,,
5.6178850000,0x00,,
5.6190300000,0x00,,
5.6201750000,0x8C,,
5.6213200000,0xEC,,
5.6224700000,0x0C,,
5.6236150000,0xCC,,
5.6247600000,0xAC,,
5.6259050000,0x9C,,
5.6270500000,0x5C,,
5.6281950000,0xF8,,
5.6293400000,0x5C,,
5.6304850000,0xE2,,
5.6316300000,0x7C,,
6.5988600000,0x3C,,
6.6000050000,0x80,,
6.6011500000,0x5C,,
6.6022950000,0xC0,,
6.6034400000,0x5C,,
6.6045850000,0xB0,,
6.6057300000,0x5C,,
6.6068750000,0x60,,
6.6080200000,0x5C,,
6.6091650000,0xCA,,
6.6103100000,0x2A,,
6.6114550000,0x18,,
6.6126000000,0x00,,
6.6137450000,0x00,,
6.6148900000,0x8C,,
6.6160350000,0xEC,,
6.6171800000,0x0C,,
6.6183250000,0xCC,,
6.6194700000,0xAC,,
6.6206150000,0x9C,,
6.6217600000,0x5C,,
6.6229050000,0xF8,,
6.6240550000,0x5C,,
6.6252000000,0xE2,,
6.6263450000,0x7C,,
7.6136900000,0x3C,,
7.6148350000,0x80,,
7.6159800000,0x5C,,
7.6171250000,0xC0,,
7.6182700000,0x5C,,
7.6194150000,0xB0,,
7.6205600000,0x5C,,
7.6217050000,0x60,,
7.6228500000,0x5C,,
7.6240000000,0xCA,,
7.6251450000,0x2A,,
7.6262900000,0x18,,
7.6274350000,0x00,,
7.6285800000,0x00,,
7.6297250000,0x8C,,
7.6308700000,0xEC,,
7.6320150000,0x0C,,
7.6331600000,0xCC,,
7.6343050000,0xAC,,
7.6354500000,0x9C,,
7.6365950000,0x5C,,
7.6377400000,0xF8,,
7.6388850000,0x5C,,
7.6400300000,0xE2,,
7.6411750000,0x7C,,
8.6084300000,0x3C,,
8.6095750000,0x80,,
8.6107200000,0x5C,,
8.6118650000,0xC0,,
8.6130100000,0x5C,,
8.6141550000,0xB0,,
8.6153000000,0x5C,,
8.6164450000,0x60,,
8.6175900000,0x5C,,
8.6187350000,0xCA,,
8.6198800000,0x2A,,
8.6210250000,0x18,,
8.6221700000,0x00,,
8.6233150000,0x00,,
8.6244600000,0x8C,,
8.6256050000,0xEC,,
8.6267500000,0x0C,,
8.6278950000,0xCC,,
8.6290400000,0xAC,,
8.6301850000,0x9C,,
8.6313300000,0x5C,,
8.6324750000,0xF8,,
8.6336200000,0x5C,,
8.6347650000,0xE2,,
8.6359100000,0x7C,,
9.6232150000,0x3C,,
9.6243600000,0x80,,
9.6255050000,0x5C,,
9.6266500000,0xC0,,
9.6277950000,0x5C,,
9.6289400000,0xB0,,
9.6300850000,0x5C,,
9.6312300000,0x60,,
9.6323750000,0x5C,,
9.6335200000,0xCA,,
9.6346650000,0x2A,,
9.6358100000,0x18,,
9.6369550000,0x00,,
9.6381000000,0x00,,
9.6392450000,0x8C,,
9.6403900000,0xEC,,
9.6415350000,0x0C,,
9.6426800000,0xCC,,
9.6438250000,0xAC,,
9.6449750000,0x9C,,
9.6461200000,0x5C,,
9.6472650000,0xF8,,
9.6484100000,0x5C,,
9.6495550000,0xE2,,
9.6507000000,0x7C,,
10.6380400000,0x3C,,
10.6391850000,0x80,,
10.6403300000,0x5C,,
10.6414750000,0xC0,,
10.6426200000,0x5C,,
10.6437650000,0xB0,,
10.6449100000,0x5C,,
10.6460550000,0x60,,
10.6472000000,0x5C,,
10.6483450000,0xCA,,
10.6494900000,0x2A,,
10.6506350000,0x18,,
10.6517800000,0x00,,
10.6529250000,0x00,,
10.6540700000,0x8C,,
10.6552150000,0xEC,,
10.6563600000,0x0C,,
10.6575050000,0xCC,,
10.6586500000,0xAC,,
10.6597950000,0x9C,,
10.6609400000,0x5C,,
10.6620900000,0xF8,,
10.6632350000,0x5C,,
10.6643800000,0xE2,,
10.6655250000,0x7C,,
11.6327650000,0x3C,,
11.6339100000,0x80,,
11.6350550000,0x5C,,
11.6362000000,0xC0,,
11.6373450000,0x5C,,
11.6384900000,0xB0,,
11.6396350000,0x5C,,
11.6407800000,0x60,,
11.6419250000,0x5C,,
11.6430700000,0xCA,,
11.6442150000,0x2A,,
11.6453600000,0x18,,
11.6465050000,0x00,,
11.6476500000,0x00,,
11.6487950000,0x8C,,
11.6499400000,0xEC,,
11.6510850000,0x0C,,
11.6522300000,0xCC,,
11.6533800000,0xAC,,
11.6545250000,0x9C,,
11.6556700000,0x5C,,
11.6568150000,0xF8,,
11.6579600000,0x5C,,
11.6591050000,0xE2,,
11.6602500000,0x7C,,
