Time [s],Value,Parity Error,Framing Error
3.8908600000,0x3C,,
3.8919100000,0xC0,,
3.8929650000,0x5C,,
3.8940150000,0x80,,
3.8950650000,0x5C,,
3.8961150000,0xC0,,
3.8971650000,0x5C,,
3.8982150000,0x82,,
3.8992650000,0xCA,,
3.9003200000,0x5C,,
3.9013700000,0x5C,,
3.9024200000,0xC8,,
3.9034700000,0x5C,,
3.9045200000,0xE2,,
3.9055700000,0x7C,,
3.9590300000,0x3C,,
3.9600800000,0xC0,,
3.9611300000,0x5C,,
3.9621800000,0x80,,
3.9632300000,0x5C,,
3.9642800000,0xC0,,
3.9653350000,0x5C,,
3.9663850000,0xCA,,
3.9674350000,0x2A,,
3.9684850000,0x5C,,
3.9695350000,0x5C,,
3.9705850000,0x60,,
3.9716350000,0x5C,,
3.9726850000,0xE2,,
3.9737400000,0x7C,,
5.0960750000,0x3C,,
5.0971300000,0xC0,,
5.0981800000,0x5C,,
5.0992300000,0x80,,
5.1002800000,0x5C,,
5.1013300000,0xC0,,
5.1023800000,0x5C,,
5.1034300000,0xCA,,
5.1044850000,0x2A,,
5.1055350000,0x5C,,
5.1065850000,0x5C,,
5.1076350000,0x60,,
5.1086850000,0x5C,,
5.1097350000,0xE2,,
5.1107850000,0x7C,,
6.1040050000,0x3C,,
6.1050550000,0xC0,,
6.1061050000,0x5C,,
6.1071550000,0x80,,
6.1082050000,0x5C,,
6.1092550000,0xC0,,
6.1103050000,0x5C,,
6.1113600000,0xCA,,
6.1124100000,0x2A,,
6.1134600000,0x5C,,
6.1145100000,0x5C,,
6.1155600000,0x60,,
6.1166100000,0x5C,,
6.1176600000,0xE2,,
6.1187150000,0x7C,,
7.1153900000,0x3C,,
7.1164400000,0xC0,,
7.1174900000,0x5C,,
7.1185450000,0x80,,
7.1195950000,0x5C,,
7.1206450000,0xC0,,
7.1216950000,0x5C,,
7.1227450000,0xCA,,
7.1237950000,0x2A,,
7.1248450000,0x5C,,
7.1258950000,0x5C,,
7.1269500000,0x60,,
7.1280000000,0x5C,,
7.1290500000,0xE2,,
7.1301000000,0x7C,,
8.1233050000,0x3C,,
8.1243550000,0xC0,,
8.1254050000,0x5C,,
8.1264550000,0x80,,
8.1275050000,0x5C,,
8.1285550000,0xC0,,
8.1296050000,0x5C,,
8.1306600000,0xCA,,
8.1317100000,0x2A,,
8.1327600000,0x5C,,
8.1338100000,0x5C,,
8.1348600000,0x60,,
8.1359100000,0x5C,,
8.1369600000,0xE2,,
8.1380150000,0x7C,,
9.1301700000,0x3C,,
9.1312200000,0xC0,,
9.1322700000,0x5C,,
9.1333200000,0x80,,
9.1343750000,0x5C,,
9.1354250000,0xC0,,
9.1364750000,0x5C,,
9.1375250000,0xCA,,
9.1385750000,0x2A,,
9.1396250000,0x5C,,
9.1406750000,0x5C,,
9.1417300000,0x60,,
9.1427800000,0x5C,,
9.1438300000,0xE2,,
9.1448800000,0x7C,,
10.1330350000,0x3C,,
10.1340850000,0xC0,,
10.1351350000,0x5C,,
10.1361850000,0x80,,
10.1372400000,0x5C,,
10.1382900000,0xC0,,
10.1393400000,0x5C,,
10.1403900000,0xCA,,
10.1414400000,0x2A,,
10.1424900000,0x5C,,
10.1435400000,0x5C,,
10.1445900000,0x60,,
10.1456450000,0x5C,,
10.1466950000,0xE2,,
10.1477450000,0x7C,,
11.1336850000,0x3C,,
11.1347350000,0xC0,,
11.1357850000,0x5C,,
11.1368400000,0x80,,
11.1378900000,0x5C,,
11.1389400000,0xC0,,
11.1399900000,0x5C,,
11.1410400000,0xCA,,
11.1420900000,0x2A,,
11.1431400000,0x5C,,
11.1441950000,0x5C,,
11.1452450000,0x60,,
11.1462950000,0x5C,,
11.1473450000,0xE2,,
11.1483950000,0x7C,,
12.1406450000,0x3C,,
12.1416950000,0xC0,,
12.1427450000,0x5C,,
12.1437950000,0x80,,
12.1448450000,0x5C,,
12.1458950000,0xC0,,
12.1469500000,0x5C,,
12.1480000000,0xCA,,
12.1490500000,0x2A,,
12.1501000000,0x5C,,
12.1511500000,0x5C,,
12.1522000000,0x60,,
12.1532500000,0x5C,,
12.1543050000,0xE2,,
12.1553550000,0x7C,,
12.2411650000,0x3C,,
12.2422150000,0xC0,,
12.2432650000,0x5C,,
12.2443200000,0x80,,
12.2453700000,0x5C,,
12.2464200000,0xC0,,
12.2474700000,0x5C,,
12.2485200000,0x82,,
12.2495700000,0xCA,,
12.2506200000,0x5C,,
