Time [s],Value,Parity Error,Framing Error
4.1101450000,0x3C,,
4.1112900000,0x80,,
4.1124350000,0x5C,,
4.1135800000,0xC0,,
4.1147250000,0x5C,,
4.1158700000,0x70,,
4.1170150000,0x5C,,
4.1181600000,0x60,,
4.1193050000,0x5C,,
4.1204500000,0x82,,
4.1215950000,0xCA,,
4.1227400000,0xF8,,
4.1238850000,0xF8,,
4.1250350000,0x8C,,
4.1261800000,0x1C,,
4.1273250000,0x0C,,
4.1284700000,0xCC,,
4.1296150000,0xAC,,
4.1307600000,0x9C,,
4.1319050000,0x8C,,
4.1330500000,0x8C,,
4.1341950000,0x5C,,
4.1353400000,0x78,,
4.1364850000,0x5C,,
4.1376300000,0xE2,,
4.1387750000,0x7C,,
4.2009300000,0x3C,,
4.2020750000,0x80,,
4.2032200000,0x5C,,
4.2043650000,0xC0,,
4.2055100000,0x5C,,
4.2066550000,0xB0,,
4.2078000000,0x5C,,
4.2089450000,0x60,,
4.2100900000,0x5C,,
4.2112350000,0xCA,,
4.2123800000,0x2A,,
4.2135250000,0x18,,
4.2146700000,0x00,,
4.2158150000,0x00,,
4.2169600000,0x8C,,
4.2181050000,0x1C,,
4.2192500000,0x0C,,
4.2204000000,0xCC,,
4.2215450000,0xAC,,
4.2226900000,0x9C,,
4.2238350000,0x5C,,
4.2249800000,0x08,,
4.2261250000,0x5C,,
4.2272700000,0xE2,,
4.2284150000,0x7C,,
5.3365550000,0x3C,,
5.3377050000,0x80,,
5.3388500000,0x5C,,
5.3399950000,0xC0,,
5.3411400000,0x5C,,
5.3422850000,0xB0,,
5.3434300000,0x5C,,
5.3445750000,0x60,,
5.3457200000,0x5C,,
5.3468650000,0xCA,,
5.3480100000,0x2A,,
5.3491550000,0x18,,
5.3503000000,0x00,,
5.3514450000,0x00,,
5.3525900000,0x8C,,
5.3537350000,0x1C,,
5.3548800000,0x0C,,
5.3560250000,0xCC,,
5.3571700000,0xAC,,
5.3583150000,0x9C,,
5.3594600000,0x5C,,
5.3606050000,0x08,,
5.3617500000,0x5C,,
5.3628950000,0xE2,,
5.3640400000,0x7C,,
6.3312850000,0x3C,,
6.3324300000,0x80,,
6.3335750000,0x5C,,
6.3347200000,0xC0,,
6.3358650000,0x5C,,
6.3370150000,0xB0,,
6.3381600000,0x5C,,
6.3393050000,0x60,,
6.3404500000,0x5C,,
6.3415950000,0xCA,,
6.3427400000,0x2A,,
6.3438850000,0x18,,
6.3450300000,0x00,,
6.3461750000,0x00,,
6.3473200000,0x8C,,
6.3484650000,0x1C,,
6.3496100000,0x0C,,
6.3507550000,0xCC,,
6.3519000000,0xAC,,
6.3530450000,0x9C,,
6.3541900000,0x5C,,
6.3553350000,0x08,,
6.3564800000,0x5C,,
6.3576250000,0xE2,,
6.3587700000,0x7C,,
7.3460950000,0x3C,,
7.3472400000,0x80,,
7.3483850000,0x5C,,
7.3495300000,0xC0,,
7.3506750000,0x5C,,
7.3518200000,0xB0,,
7.3529650000,0x5C,,
7.3541100000,0x60,,
7.3552550000,0x5C,,
7.3564000000,0xCA,,
7.3575450000,0x2A,,
7.3586900000,0x18,,
7.3598350000,0x00,,
7.3609800000,0x00,,
7.3621250000,0x8C,,
7.3632700000,0x1C,,
7.3644150000,0x0C,,
7.3655600000,0xCC,,
7.3667050000,0xAC,,
7.3678500000,0x9C,,
7.3689950000,0x5C,,
7.3701400000,0x08,,
7.3712850000,0x5C,,
7.3724300000,0xE2,,
7.3735750000,0x7C,,
8.3609150000,0x3C,,
8.3620600000,0x80,,
8.3632050000,0x5C,,
8.3643500000,0xC0,,
8.3654950000,0x5C,,
8.3666400000,0xB0,,
8.3677850000,0x5C,,
8.3689300000,0x60,,
8.3700750000,0x5C,,
8.3712200000,0xCA,,
8.3723650000,0x2A,,
8.3735100000,0x18,,
8.3746550000,0x00,,
8.3758000000,0x00,,
8.3769450000,0x8C,,
8.3780900000,0x1C,,
8.3792350000,0x0C,,
8.3803800000,0xCC,,
8.3815250000,0xAC,,
8.3826700000,0x9C,,
8.3838150000,0x5C,,
8.3849600000,0x08,,
8.3861050000,0x5C,,
8.3872500000,0xE2,,
8.3883950000,0x7C,,
9.3556500000,0x3C,,
9.3567950000,0x80,,
9.3579400000,0x5C,,
9.3590850000,0xC0,,
9.3602350000,0x5C,,
9.3613800000,0xB0,,
9.3625250000,0x5C,,
9.3636700000,0x60,,
9.3648150000,0x5C,,
9.3659600000,0xCA,,
9.3671050000,0x2A,,
9.3682500000,0x18,,
9.3693950000,0x00,,
9.3705400000,0x00,,
9.3716850000,0x8C,,
9.3728300000,0x1C,,
9.3739750000,0x0C,,
9.3751200000,0xCC,,
9.3762650000,0xAC,,
9.3774100000,0x9C,,
9.3785550000,0x5C,,
9.3797000000,0x08,,
9.3808450000,0x5C,,
9.3819900000,0xE2,,
9.3831350000,0x7C,,
10.3704850000,0x3C,,
10.3716300000,0x80,,
10.3727750000,0x5C,,
10.3739200000,0xC0,,
10.3750650000,0x5C,,
10.3762150000,0xB0,,
10.3773600000,0x5C,,
10.3785050000,0x60,,
10.3796500000,0x5C,,
10.3807950000,0xCA,,
10.3819400000,0x2A,,
10.3830850000,0x18,,
10.3842300000,0x00,,
10.3853750000,0x00,,
10.3865200000,0x8C,,
10.3876650000,0x1C,,
10.3888100000,0x0C,,
10.3899550000,0xCC,,
10.3911000000,0xAC,,
10.3922450000,0x9C,,
10.3933900000,0x5C,,
10.3945350000,0x08,,
10.3956800000,0x5C,,
10.3968250000,0xE2,,
10.3979700000,0x7C,,
11.3652350000,0x3C,,
11.3663800000,0x80,,
11.3675250000,0x5C,,
11.3686700000,0xC0,,
11.3698150000,0x5C,,
11.3709600000,0xB0,,
11.3721100000,0x5C,,
11.3732550000,0x60,,
11.3744000000,0x5C,,
11.3755450000,0xCA,,
11.3766900000,0x2A,,
11.3778350000,0x18,,
11.3789800000,0x00,,
11.3801250000,0x00,,
11.3812700000,0x8C,,
11.3824150000,0x1C,,
11.3835600000,0x0C,,
11.3847050000,0xCC,,
11.3858500000,0xAC,,
11.3869950000,0x9C,,
11.3881400000,0x5C,,
11.3892850000,0x08,,
11.3904300000,0x5C,,
11.3915750000,0xE2,,
11.3927200000,0x7C,,
12.1387500000,0x3C,,
12.1398950000,0x80,,
12.1410400000,0x5C,,
12.1421850000,0xC0,,
12.1433300000,0x5C,,
12.1444750000,0x70,,
12.1456200000,0x5C,,
12.1467650000,0x60,,
12.1479100000,0x5C,,
12.1490550000,0x82,,
12.1502000000,0xCA,,
12.1513450000,0xF8,,
12.1524900000,0xF8,,
12.1536350000,0x8C,,
12.1547800000,0x1C,,
12.1559250000,0x0C,,
12.1570700000,0xCC,,
12.1582150000,0xAC,,
12.1593600000,0x9C,,
12.1605050000,0x8C,,
12.1616500000,0x8C,,
12.1627950000,0x5C,,
12.1639400000,0x78,,
12.1650850000,0x5C,,
12.1662300000,0xE2,,
12.1673750000,0x7C,,
12.2299450000,0x3C,,
12.2310900000,0x80,,
12.2322350000,0x5C,,
12.2333800000,0xC0,,
12.2345250000,0x5C,,
12.2356700000,0xE0,,
12.2368150000,0x5C,,
12.2379600000,0x60,,
12.2391050000,0x5C,,
12.2402500000,0x0A,,
12.2413950000,0x0A,,
12.2425400000,0x0C,,
12.2436850000,0x8C,,
