Time [s],Value,Parity Error,Framing Error
3.9094950000,0x3C,,
3.9106400000,0x80,,
3.9117850000,0x5C,,
3.9129300000,0xC0,,
3.9140750000,0x5C,,
3.9152200000,0x70,,
3.9163650000,0x5C,,
3.9175100000,0x60,,
3.9186550000,0x5C,,
3.9198000000,0x82,,
3.9209500000,0xCA,,
3.9220950000,0xF8,,
3.9232400000,0xF8,,
3.9243850000,0x0C,,
3.9255300000,0x0C,,
3.9266750000,0x9C,,
3.9278200000,0xCC,,
3.9289650000,0xAC,,
3.9301100000,0x9C,,
3.9312550000,0x8C,,
3.9324000000,0x8C,,
3.9335450000,0x5C,,
3.9346900000,0x78,,
3.9358350000,0x5C,,
3.9369800000,0xE2,,
3.9381250000,0x7C,,
3.9801800000,0x3C,,
3.9813250000,0x80,,
3.9824700000,0x5C,,
3.9836150000,0xC0,,
3.9847600000,0x5C,,
3.9859050000,0xB0,,
3.9870500000,0x5C,,
3.9881950000,0x60,,
3.9893450000,0x5C,,
3.9904900000,0xCA,,
3.9916350000,0x2A,,
3.9927800000,0x18,,
3.9939250000,0x00,,
3.9950700000,0x00,,
3.9962150000,0x0C,,
3.9973600000,0x0C,,
3.9985050000,0x9C,,
3.9996500000,0xCC,,
4.0007950000,0xAC,,
4.0019400000,0x9C,,
4.0030850000,0x5C,,
4.0042300000,0x08,,
4.0053750000,0x5C,,
4.0065200000,0xE2,,
4.0076650000,0x7C,,
5.1157550000,0x3C,,
5.1169000000,0x80,,
5.1180450000,0x5C,,
5.1191900000,0xC0,,
5.1203350000,0x5C,,
5.1214800000,0xB0,,
5.1226250000,0x5C,,
5.1237700000,0x60,,
5.1249150000,0x5C,,
5.1260600000,0xCA,,
5.1272050000,0x2A,,
5.1283500000,0x18,,
5.1294950000,0x00,,
5.1306400000,0x00,,
5.1317850000,0x0C,,
5.1329300000,0x0C,,
5.1340750000,0x9C,,
5.1352200000,0xCC,,
5.1363700000,0xAC,,
5.1375150000,0x9C,,
5.1386600000,0x5C,,
5.1398050000,0x08,,
5.1409500000,0x5C,,
5.1420950000,0xE2,,
5.1432400000,0x7C,,
6.1305750000,0x3C,,
6.1317200000,0x80,,
6.1328650000,0x5C,,
6.1340100000,0xC0,,
6.1351550000,0x5C,,
6.1363000000,0xB0,,
6.1374450000,0x5C,,
6.1385900000,0x60,,
6.1397350000,0x5C,,
6.1408800000,0xCA,,
6.1420250000,0x2A,,
6.1431700000,0x18,,
6.1443150000,0x00,,
6.1454600000,0x00,,
6.1466050000,0x0C,,
6.1477500000,0x0C,,
6.1488950000,0x9C,,
6.1500400000,0xCC,,
6.1511850000,0xAC,,
6.1523300000,0x9C,,
6.1534750000,0x5C,,
6.1546200000,0x08,,
